Appetizer,Entrée ,Dessert
snack food,grain,bread
vegetable,snack food,snack food
pasta,meat,prepared food
prepared food,snack food,vegetable
prepared food,beverage,snack food
seafood,prepared food,fruit
fruit,vegetable,condiment
snack food,seafood,meat
prepared food,snack food,eggs
prepared food,condiment,snack food
prepared food,snack food,snack food
meat,snack food,condiment
vegetable,snack food,alcohol
grain,prepared food,fruit
,meat,snack food
,prepared food,snack food
,cheese,alcohol
,meat,fruit
,vegetable,snack food
,fruit,nuts
,vegetable,pasta
,vegetable,prepared food
,prepared food,snack food
,alcohol,vegetable
,meat,grain
,vegetable,
,vegetable,
,snack food,
,spice,
,prepared food,
,meat,
,vegetable,
,snack food,
,nuts,
,prepared food,
,snack food,
,snack food,
,fruit,
,prepared food,
,prepared food,
,alcohol,
,beverage,
,prepared food,
,condiment,
,snack food,
,vegetable,
,vegetable,
,seafood,
,vegetable,
,vegetable,
,seafood,
,beverage,
,cheese,
,cheese,
,prepared food,
,alcohol,
